Alosa sapidissima,Anoplopoma fimbria,Beringraja binoculata,Clupea pallasii,Eopsetta jordani,Gadus chalcogrammus,Glyptocephalus zachirus,Hexagrammos decagrammus,Hippoglossoides elassodon,Leptoclinus maculatus,Merluccius productus,Microstomus pacificus,Oncorhynchus gorbuscha,Oncorhynchus keta,Oncorhynchus kisutch,Oncorhynchus nerka,Phytichthys chirus,Reinhardtius evermanni,Sebastes alutus,Sebastes caurinus/maliger,Sebastes crameri,Sebastes mystinus,Squalus suckleyi,Thaleichthys pacificus
0,0,0,256,0,0,0,0,0,0,0,0,0,0,5072,0,0,0,0,0,0,0,2356,6722
0,0,0,9892,0,0,0,0,0,0,0,0,0,0,5731,7570,0,0,0,0,0,0,461,0
0,0,0,19077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6983,0,0,0,295,0
0,0,0,7948,0,22808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,170,0,12950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,198952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,26663,0,0,0,0,0,0,0,0,0,0,0,0,0,6839,0,0,0,0,0,119
0,0,0,7775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,42679,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,4801
0,0,0,49411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10749
0,0,0,82565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8070
0,0,0,64855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764,0,0,0
243,0,0,13042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,239
409,0,0,20972,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,3947
432,0,0,20645,0,0,20181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0
454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6274
642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,1088
0,0,0,1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2246,9212
99,0,0,64729,0,57541,0,0,0,0,0,0,0,0,0,0,0,0,0,5709,0,0,310,58654
0,0,0,8870,0,6642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57756
0,0,0,1215,0,0,91,0,0,0,0,0,0,0,0,1902,0,0,0,0,0,0,199,10143
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1286
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2547,0,0,0,0,0,0,0,199
0,0,0,7840,0,0,0,0,0,0,7493,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,10,0,0,0,0,0,0,32222,0,0,0,0,0,0,0,0,0,0,0,0,0
178,0,0,5910,0,14719,191,0,0,0,136832,0,0,0,0,0,0,0,0,0,0,0,8446,1910
172,0,0,2076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607,3492
0,0,0,0,0,0,0,0,0,0,0,0,8122,0,0,0,0,0,0,0,0,0,148,0
94,751,0,0,0,0,0,0,0,0,0,0,0,0,0,11632,0,0,0,0,0,0,352,7504
0,0,0,0,0,0,0,0,0,0,24764,11482,0,0,0,0,0,0,0,0,0,0,45601,0
337,0,0,0,0,0,255,0,0,0,0,0,0,0,0,3886,0,0,0,0,0,0,353,602
0,366506,6384,109532,0,0,0,0,0,10657,24693,0,0,0,0,26375,0,0,0,0,6394,0,425,86683
0,91888,0,157914,0,0,0,0,0,0,0,0,0,0,0,10155,2970,0,0,0,2935,5428,0,9554
0,0,0,50306,0,1573,0,0,0,0,0,0,0,0,4092,13230,1785,0,373,0,0,0,944,5422
0,0,0,137402,0,0,489,0,0,0,690,0,0,0,13523,3155,3855,0,1697,0,0,0,3075,17680
73,1090,0,135621,0,0,487,12083,0,0,1404,0,1408,0,19976,10382,1906,0,559,0,0,0,6699,18516
0,3761,0,232643,945,9122,3543,0,0,0,1808,0,0,0,40320,26282,1714,0,18527,0,0,0,4774,39065
0,3036,0,182919,2577,6843,0,0,0,0,0,0,0,0,43907,29817,9234,0,13646,0,140,0,4329,52998
0,1803,0,274921,0,6204,4405,0,1102,0,5925,0,0,0,44671,0,5246,0,31655,3960,0,0,803,55706
