"","ASV1","ASV2","ASV3","ASV4","ASV5","ASV6","ASV7","ASV8","ASV9","ASV11","ASV12","ASV13","ASV14","ASV15","ASV16","ASV17","ASV18","ASV19","ASV20","ASV23","ASV26","ASV27","ASV28","ASV29","ASV32","ASV34","ASV37","ASV41","ASV47","ASV52","ASV57","ASV64","ASV66","ASV81","ASV83","ASV88","ASV96","ASV105","ASV120","ASV136","ASV137","ASV207","ASV212","ASV378","ASV433","ASV542","ASV592","ASV619"
"tdna001",20367,14806,0,0,0,0,0,39874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4120,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna002",63430,98,8995,0,0,36887,0,17184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna003",42392,108,0,0,0,96145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna004",29379,117,9331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna005",43234,111,6618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna006",62681,39,10315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0
"tdna007",44838,0,6281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna008",14219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2549,0,0,0,0,0,0,0,0,0,0
"tdna009",302,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna010",188,56979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna011",40330,69450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna012",0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna013",96,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna014",253,36988,0,35584,0,0,0,0,0,0,0,0,0,0,0,76060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna015",168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna016",1991,75303,0,0,0,0,0,12164,0,0,12382,0,0,1728,79220,0,0,0,0,0,6175,0,0,0,0,0,0,0,0,933,0,0,14040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna017",112569,33867,24712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna018",141071,17113,27562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna019",51768,59289,9818,2896,0,0,7365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna020",74972,109124,15506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna021",307,165461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna022",132268,16068,22138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0
"tdna023",64349,0,10344,0,0,0,0,0,0,0,0,0,0,1619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,0,0,0,0,0,0,0,0,0
"tdna024",20379,23681,4703,0,0,0,0,6196,0,0,0,0,0,0,0,0,68195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna025",133907,0,27373,0,0,0,0,0,0,0,0,0,0,1011,0,0,0,0,0,0,0,0,0,613,0,0,0,0,0,0,0,0,0,0,0,2088,1515,0,0,0,0,0,0,0,0,0,0,0
"tdna026",68866,12350,13031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4302,0,10420,0,0,0,0,0,0,0,0,0,0,0,2831,0,0,0,3059,1085,0,0,0,0,0,0,0
"tdna027",14933,19982,2968,0,0,0,0,0,0,0,0,0,0,537,0,0,0,0,0,0,0,0,0,7371,15878,10285,0,0,0,0,0,0,0,9463,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna028",123470,76302,25947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9573,14962,0,0,0,0,0,0,0,0,0,417,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna029",78487,0,15320,0,0,0,0,0,0,0,0,0,0,5206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna030",75840,60365,31364,17391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna031",565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna032",47095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna033",33862,24712,7864,8190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna034",29149,104750,6272,4112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna035",156,0,0,24607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna036",61,142,0,101538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna037",22265,137566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna038",6552,82829,0,117346,0,0,0,0,0,0,0,16117,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,8679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna039",72532,48846,11113,16027,0,0,0,0,0,0,0,0,0,10420,0,0,0,0,0,0,0,0,0,882,5877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna041",37739,90972,6987,0,0,0,0,20633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
"tdna042",27738,40720,6809,14136,46035,0,0,0,0,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,27849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
"tdna044",29153,0,0,2347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna045",36339,117957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna046",28841,7558,0,0,0,0,0,0,0,71204,0,0,0,0,0,0,0,0,0,0,0,25464,0,0,2774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna047",25238,111,4051,0,0,0,150127,25972,25186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna048",18564,77435,0,0,73303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna049",72521,801,15564,0,0,0,26802,10423,0,0,0,0,0,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0
"tdna050",99269,27837,14669,610,0,13730,0,5948,21953,0,0,0,0,511,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,1101,0,0,3461,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna051",82823,3012,13866,834,41606,8536,0,1890,0,0,0,0,0,132,1480,0,0,0,0,0,0,2314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,0,0,0,0,0
"tdna052",104775,6843,16453,1089,0,14143,1103,3051,21270,0,4216,0,0,827,0,0,0,0,0,0,0,0,0,0,0,0,2863,0,0,0,0,1231,0,0,0,0,0,0,0,0,0,619,0,0,0,0,0,0
"tdna053",100016,0,20928,0,0,0,0,0,34518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna054",103245,12959,16664,534,0,24762,0,5619,15316,0,1815,0,13002,848,0,0,0,1081,0,0,0,165,1495,0,0,0,1291,0,0,0,0,1512,0,0,153,0,0,0,0,0,0,0,0,611,451,0,0,0
"tdna055",33,23683,0,0,142133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna056",112265,11620,14704,843,0,31850,0,5633,8954,0,0,0,9535,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,0,0,0,0,0,0,0,0,0,0,0,0,0
"tdna057",75208,10750,13263,0,0,16560,2012,4701,18144,0,1634,0,7174,796,0,0,0,0,0,0,1837,0,0,0,0,0,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
