lat1,lon1,lat2,lon2,set_number
48.37888888888889,123.81388888888888,48.340555555555554,123.94805555555556,8
48.56388888888888,123.86138888888888,48.42472222222222,123.85722222222222,9
48.57555555555555,124.69972222222222,48.70027777777778,124.84027777777777,10
48.59916666666667,124.75472222222223,48.69083333333334,124.59416666666667,11
48.532777777777774,124.33555555555556,48.70861111111111,124.5325,12
48.49777777777778,124.38972222222222,48.48138888888889,124.40861111111111,13
48.68666666666667,125.0425,48.61611111111111,125.13555555555556,14
48.58638888888889,124.95638888888888,48.754999999999995,124.89833333333333,15
48.62444444444444,125.11972222222222,48.85638888888889,125.15055555555556,16
50.68833333333333,126.93694444444445,50.72222222222222,126.86888888888889,1
50.658055555555556,126.74916666666667,50.52444444444444,126.61666666666666,2
50.74694444444444,127.10555555555555,50.76833333333334,126.93666666666667,3
50.689722222222215,127.00527777777778,50.89111111111111,127.22527777777778,4
50.56944444444444,126.74000000000001,50.77583333333333,126.82666666666665,5
50.576388888888886,126.41944444444444,50.7575,126.5436111111111,6
50.57833333333333,126.52194444444444,50.5325,126.46499999999999,7
